section	canonical_label	action_slug	source_labels	normalization_status	representative_source_label	first_timecode	about_summary	primary_value	primary_tokens	primary_kind	primary_value_status	primary_value_source	secondary_value	secondary_tokens	secondary_kind	secondary_value_status	secondary_value_source	resolution_status	change_note	export_xml_tag	export_status
FLIGHT ROTATION	YAW AXIS	yaw_axis	YAW AXIS	exact	YAW AXIS	0:00:09	Analogue input axis for controlling ship | yaw (turning left or righ. | (Alternate - used when the alternate	UNASSIGNED	[]	button_binding	confirmed	manual-override	REGULAR	[]	setting_value	confirmed	manual-override	confirmed			not-mapped
FLIGHT ROTATION	YAW LEFT	yaw_left	YAW LEFT	exact	YAW LEFT	0:00:09	(turning lef.	L1	"[""L1""]"	button_binding	confirmed	manual-override		[]	empty			confirmed		YawLeftButton	ready
FLIGHT ROTATION	YAW RIGHT	yaw_right	YAW RIGHT	exact	YAW RIGHT	0:00:09	(turning righ.	R1	"[""R1""]"	button_binding	confirmed	manual-override		[]	empty			confirmed		YawRightButton	ready
FLIGHT ROTATION	YAW INTO ROLL	yaw_into_roll	YAW INTO ROLL	exact	YAW INTO ROLL	0:00:09	Enable a slight yaw action based on roll | input: | Off no yaw into roll functionality.	OFF	[]	setting_value	confirmed	manual-override		[]	empty			confirmed			not-mapped
FLIGHT ROTATION	YAW INTO ROLL SENSITIVITY	yaw_into_roll_sensitivity	YAW INTO ROLL SENSITIVITY	exact	YAW INTO ROLL SENSITIVITY	0:00:09		LOW_APPROX	[]	text_or_unknown	confirmed	manual-override		[]	empty			confirmed			not-mapped
FLIGHT ROTATION	YAW INTO ROLL - FLIGHT ASSIST OFF	yaw_into_roll_flight_assist_off	YAW INTO ROLL - FLIGHT ASSIST O | YAW INTO ROLL - FLIGHT ASSIST OF	aliased	YAW INTO ROLL - FLIGHT ASSIST O	0:00:09		OFF	[]	setting_value	confirmed	manual-override		[]	empty			confirmed			not-mapped
FLIGHT ROTATION	YAW-ROLL BUTTON	yaw_roll_button	YAW-ROLL BUTTON	exact	YAW-ROLL BUTTON	0:00:09	Hold or toggle to convert all roll input to	UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		YawToRollButton	ready
FLIGHT ROTATION	ROLL AXIS	roll_axis	ROLL AXIS	exact	ROLL AXIS	0:00:09		LEFT_STICK_LEFT_RIGHT	[]	analog_binding	confirmed	manual-override	REGULAR	[]	setting_value	confirmed	manual-override	confirmed			not-mapped
FLIGHT ROTATION	ROLL LEFT	roll_left	ROLL LEFT	exact	ROLL LEFT	0:00:09		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		RollLeftButton	ready
FLIGHT ROTATION	ROLL RIGHT	roll_right	ROLL RIGHT	exact	ROLL RIGHT	0:00:09		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		RollRightButton	ready
FLIGHT ROTATION	PITCH AXIS	pitch_axis	PITCH AXIS	exact	PITCH AXIS	0:00:09		LEFT_STICK_UP_DOWN	[]	analog_binding	confirmed	manual-override	INVERTED	[]	setting_value	confirmed	manual-override	confirmed			not-mapped
FLIGHT ROTATION	PITCH UP	pitch_up	PITCH UP	exact	PITCH UP	0:00:09		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		PitchUpButton	ready
FLIGHT ROTATION	PITCH DOWN	pitch_down	PITCH DOWN	exact	PITCH DOWN	0:00:09		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		PitchDownButton	ready
FLIGHT THRUST	LATERAL THRUST AXIS	lateral_thrust_axis	LATERAL THRUST AXIS	exact	LATERAL THRUST AXIS	0:01:55	Analogue input axis for controlling | lateral (left and right manoeuvring | thrust.	RIGHT_STICK_LEFT_RIGHT	[]	analog_binding	confirmed	manual-override	REGULAR	[]	setting_value	confirmed	manual-override	confirmed			not-mapped
FLIGHT THRUST	THRUST LEFT	thrust_left	THRUST LEFT	exact	THRUST LEFT	0:01:55	Digital input for controlling left | manoeuvring thrust.	RIGHT_STICK_LEFT	[]	analog_binding	confirmed	manual-override		[]	empty			confirmed		LeftThrustButton	not-button-binding
FLIGHT THRUST	THRUST RIGHT	thrust_right	THRUST RIGHT	exact	THRUST RIGHT	0:01:55	Digital input for controlling right | manoeuvring thrust.	RIGHT_STICK_RIGHT	[]	analog_binding	confirmed	manual-override		[]	empty			confirmed		RightThrustButton	not-button-binding
FLIGHT THRUST	VERTICAL THRUST AXIS	vertical_thrust_axis	VERTICAL THRUST AXIS	exact	VERTICAL THRUST AXIS	0:01:55	Analogue input axis for controlling | vertical (upward or downward) | manoeuvring thrust.	RIGHT_STICK_UP_DOWN	[]	analog_binding	confirmed	manual-override	REGULAR	[]	setting_value	confirmed	manual-override	confirmed			not-mapped
FLIGHT THRUST	THRUST UP	thrust_up	THRUST UP	exact	THRUST UP	0:01:55	Digital input for controlling upward | manoeuvring thrust.	UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		UpThrustButton	ready
FLIGHT THRUST	THRUST DOWN	thrust_down	THRUST DOWN	exact	THRUST DOWN	0:01:55		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		DownThrustButton	ready
FLIGHT THRUST	THRUST FORWARD AND BACKWARD AXIS	thrust_forward_and_backward_axis	THRUST FORWARD AND BACKWAR	aliased	THRUST FORWARD AND BACKWAR	0:01:55		UNASSIGNED	[]	button_binding	confirmed	manual-override	REGULAR	[]	setting_value	confirmed	manual-override	confirmed			not-mapped
FLIGHT THRUST	THRUST FORWARD	thrust_forward	THRUST FORWARD	exact	THRUST FORWARD	0:01:55		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		ForwardKey	ready
FLIGHT THRUST	THRUST BACKWARD	thrust_backward	THRUST BACKWARD	exact	THRUST BACKWARD	0:01:55		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		BackwardKey	ready
