section	canonical_label	action_slug	source_labels	normalization_status	representative_source_label	first_timecode	about_summary	primary_value	primary_tokens	primary_kind	primary_value_status	primary_value_source	secondary_value	secondary_tokens	secondary_kind	secondary_value_status	secondary_value_source	resolution_status	change_note	export_xml_tag	export_status
FLIGHT ROTATION	YAW LEFT	yaw_left	YAW LEFT	exact	YAW LEFT	0:00:09	(turning lef.	L1	"[""L1""]"	button_binding	confirmed	manual-override		[]	empty			confirmed		YawLeftButton	ready
FLIGHT ROTATION	YAW RIGHT	yaw_right	YAW RIGHT	exact	YAW RIGHT	0:00:09	(turning righ.	R1	"[""R1""]"	button_binding	confirmed	manual-override		[]	empty			confirmed		YawRightButton	ready
FLIGHT ROTATION	YAW-ROLL BUTTON	yaw_roll_button	YAW-ROLL BUTTON	exact	YAW-ROLL BUTTON	0:00:09	Hold or toggle to convert all roll input to	UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		YawToRollButton	ready
FLIGHT ROTATION	ROLL LEFT	roll_left	ROLL LEFT	exact	ROLL LEFT	0:00:09		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		RollLeftButton	ready
FLIGHT ROTATION	ROLL RIGHT	roll_right	ROLL RIGHT	exact	ROLL RIGHT	0:00:09		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		RollRightButton	ready
FLIGHT ROTATION	PITCH UP	pitch_up	PITCH UP	exact	PITCH UP	0:00:09		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		PitchUpButton	ready
FLIGHT ROTATION	PITCH DOWN	pitch_down	PITCH DOWN	exact	PITCH DOWN	0:00:09		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		PitchDownButton	ready
FLIGHT THRUST	THRUST LEFT	thrust_left	THRUST LEFT	exact	THRUST LEFT	0:01:55	Digital input for controlling left | manoeuvring thrust.	RIGHT_STICK_LEFT	[]	analog_binding	confirmed	manual-override		[]	empty			confirmed		LeftThrustButton	not-button-binding
FLIGHT THRUST	THRUST RIGHT	thrust_right	THRUST RIGHT	exact	THRUST RIGHT	0:01:55	Digital input for controlling right | manoeuvring thrust.	RIGHT_STICK_RIGHT	[]	analog_binding	confirmed	manual-override		[]	empty			confirmed		RightThrustButton	not-button-binding
FLIGHT THRUST	THRUST UP	thrust_up	THRUST UP	exact	THRUST UP	0:01:55	Digital input for controlling upward | manoeuvring thrust.	UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		UpThrustButton	ready
FLIGHT THRUST	THRUST DOWN	thrust_down	THRUST DOWN	exact	THRUST DOWN	0:01:55		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		DownThrustButton	ready
FLIGHT THRUST	THRUST FORWARD	thrust_forward	THRUST FORWARD	exact	THRUST FORWARD	0:01:55		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		ForwardKey	ready
FLIGHT THRUST	THRUST BACKWARD	thrust_backward	THRUST BACKWARD	exact	THRUST BACKWARD	0:01:55		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		BackwardKey	ready
ALTERNATE FLIGHT CONTROLS	ALTERNATE CONTROLS TOGGLE	alternate_controls_toggle	ALTERNATE CONTROLS TOGGLE	manual-supplement	ALTERNATE CONTROLS TOGGLE	0:04:06	Toggles the inputs between the regular and alternate controls.	CIRCLE+DPAD_LEFT	"[""CIRCLE"", ""DPAD_LEFT""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered manually from the dedicated alternate-controls screen.	UseAlternateFlightValuesToggle	ready
FLIGHT THROTTLE	FORWARD ONLY THROTTLE REVERSE	forward_only_throttle_reverse	+ FORWARD ONLY THROTTLE REVER | FORWARD ONLY THROTTLE REVER | FORWARD ONLY THROTTLE REVERS	aliased	FORWARD ONLY THROTTLE REVERS	0:07:08		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		ToggleReverseThrottleInput	ready
FLIGHT THROTTLE	SET SPEED TO -100%	set_speed_to_100pct	SET SPEED TO -100%	exact	SET SPEED TO -100%	0:07:08		CROSS+L1	"[""CROSS"", ""L1""]"	button_binding	confirmed	manual-override		[]	empty			confirmed	Maximum reverse mnemonic: CROSS for maXimum + L1 for left/reverse.	SetSpeedMinus100	ready
